city,zone,zone_type,locality
Tiruchirappalli,Tiruchirappalli,ZONE,Karattampatti
Guntur,Guntur,ZONE,Nadikudi
Chittoor,Chittoor,ZONE,155-kammapalle
Chittoor,Chittoor,ZONE,Kamavaram Kothapet
Chittoor,Chittoor,ZONE,Chintaparthi
Amritsar,Amritsar,ZONE,Raipur Kalan
Amritsar,Amritsar,ZONE,Ekal Gudda
Hooghly,Hooghly,ZONE,Arjuna
Nellore,Nellore,ZONE,Kommalapudi
Salem,Salem,ZONE,Sanjeevarayanpettai
Visakhapatnam,Gajuwaka,ZONE,Pedamushidivada
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Marbisu
Warangal,Warangal,ZONE,Sudenapalli
Tirunelveli,Tirunelveli,ZONE,Maharajangar
Thiruvananthapuram,Thiruvananthapuram,ZONE,Kalamachal
Tawang,Zimithang,ZONE,Zimithang
Chittoor,Chittoor,ZONE,Gopidinne
Nellore,Nellore,ZONE,Punabaka
Salem,Salem,ZONE,Yercaud
Aurangabad (BH),Aurangabad (BH),ZONE,Rafiganj
Chittoor,Chittoor,ZONE,Tirumala North
Warangal,Warangal,ZONE,Kadavendi
Warangal,Warangal,ZONE,Komatipalli
Lucknow,Ashiyana,ZONE,Jaitikhera
Warangal,Warangal,ZONE,Pandikunta
Chittoor,Chittoor,ZONE,Karidirivaripalle
Aurangabad (BH),Aurangabad (BH),ZONE,Kunda
Allahabad,Allahabad,ZONE,Khiri
Madurai,Madurai,ZONE,Ambalakaranpatti
Madurai,Madurai,ZONE,Chockalingapuram
Salem,Salem,ZONE,Thenkumarai
Kolkata,Salt lake,ZONE,Subhash Sarabor
Chittoor,Chittoor,ZONE,Jambada
Guntur,Guntur,ZONE,Manthenavaripalem
Amritsar,Amritsar,ZONE,Bhopa Rai
North Goa,North Goa,ZONE,Menkurim
Erode,Erode,ZONE,Perundurai Sanitorium
North 24 Parganas,North 24 Parganas,ZONE,Koniara
Chittoor,Chittoor,ZONE,Varadaiahpalem
Bangalore,HSR Layout,ZONE,Haralur
Navi Mumbai,Vashi,ZONE,Vashi
Delhi,Punjabi bagh,ZONE,Meera Bagh
Delhi,Mehrauli,ZONE,Sainik Farm
Salem,Salem,ZONE,Pavalathanur
Tangerang,Tangerang,ZONE,Ganda Ria
North 24 Parganas,North 24 Parganas,ZONE,Gouranganagar
Aurangabad,Aurangabad,ZONE,Mahmoodpura
Hooghly,Hooghly,ZONE,Madhurpur
Tiruchirappalli,Tiruchirappalli,ZONE,A.Pudupatti
Warangal,Warangal,ZONE,Chinnapendyal
Chittoor,Chittoor,ZONE,Nandanuru
Aurangabad (BH),Aurangabad (BH),ZONE,Purhara
Bilaspur,Bilaspur,ZONE,Jairamnagar
Delhi,Model town,ZONE,Model Town 3
Guntur,Guntur,ZONE,Chadalavada
Chennai,Chennai South West 2,ZONE,Nanganallur
Nellore,Nellore,ZONE,Rajupalem
Bangalore,Jayanagar,ZONE,Jayanagar 5 Block
Agra,Taj Ganj,ZONE,Nai Ki Mandi
Thiruvananthapuram,Thiruvananthapuram,ZONE,Vellallur
Thiruvananthapuram,Thiruvananthapuram,ZONE,Changa
Thiruvananthapuram,Thiruvananthapuram,ZONE,Meenmutty
Thrissur,Thrissur,ZONE,Vettilappara
Aurangabad,Aurangabad,ZONE,Sarafa
Tiruchirappalli,Tiruchirappalli,ZONE,Kalingapatti
Puducherry,Puducherry,ZONE,Manamedu
Warangal,Warangal,ZONE,Peddavangara
Thrissur,Thrissur,ZONE,Chattikulam
Patna,Kankarbagh,ZONE,Pakri
Chittoor,Chittoor,ZONE,Kothapalem
Chittoor,Chittoor,ZONE,Dasukuppam
Chittoor,Chittoor,ZONE,Peddakannali
Lucknow,Ashiyana,ZONE,Kalli Pacchim
Nellore,Nellore,ZONE,Komarika
Kottayam,Kottayam,ZONE,Kizhakkenmattom
Thiruvananthapuram,Thiruvananthapuram,ZONE,Russelpuram
Nellore,Nellore,ZONE,Damanellore
Tiruchirappalli,Tiruchirappalli,ZONE,Mohavanur
Nagpur,Wardhaman Nagar,ZONE,Katolroad
